a_center_x,a_center_y,snake_center_x,snake_center_y,a_up,a_right,a_down,a_left,b_up,b_right,b_down,b_left
126.0,406.0,483.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,476.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,469.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,462.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,455.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,448.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,441.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,434.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,427.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,420.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,413.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,406.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,399.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,392.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,385.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,378.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,371.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,364.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,357.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,350.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,343.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,336.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,329.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,322.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,315.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,308.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,301.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,294.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,287.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,280.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,273.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,266.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,259.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,252.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126.0,406.0,245.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
